⍨ |,german,english,hungarian,type,date,score,labels,notes
s,"Belgien,-",Belgium,Belgium,noun,2014-10-16,5,,
r,"Belgier,~",Belgian (male),belga (férfi),noun,2014-10-16,5,,
e,"Belgierin,~nen",Belgian (female),belga (nő),noun,2014-10-16,5,,
s,"Belgisch,~e",Belgian,belga,noun,2014-10-16,5,,
e,"Benutzeroberfläche,~n",user interface,felhasználói felület,noun,2014-10-06,5,,
s,"Bereich,~e",realm; area; range; scope; section,részleg; terület (átv. is),noun,2014-09-10,5,,
r,"Bericht,~e",report,"riport, jelentés",noun,2014-05-10,5,,
e,"Beschimpfung,~en",insult,beszólás,noun,2015-02-09,5,,
e,"Beschwerde,~n",complaint,panasz,noun,2014-05-24,5,,
r,"Besen,~",broom,seprű,noun,2014-05-01,5,,
e,"Besessenheit,-",obsession,megszállottság,noun,2015-03-03,5,,
e,"Besprechung,~en",meeting,tárgyalás,noun,2014-08-24,5,,
e,"Besucherstatistik,~en",visitor statistics,látogatói statisztika,noun,2014-10-06,5,,
r,"Betrieb,~e",firm,"üzem, gyár",noun,2014-05-01,5,,
s,"Betriebssystem,~e",operating system,operációs rendszer,noun,2014-10-06,5,,
e,"Beute,-",prey,zsákmány,noun,2014-10-14,5,,
e,"Beute,~n",beehive,"kas, méhkas",noun,2014-10-14,5,,
e,"Bewegung,~en",move,mozdulat,noun,2014-05-05,5,,
e,"Beweis,~e",proof,bizonyiték,noun,2015-05-01,5,,
r,"Beweis,~e","proof, evidence",bizonyíték,noun,2015-02-05,5,,
e,"Bewerbung,~en","application, candidacy",jelentkezés; pályázat,noun,2014-10-20,5,,
r,"Bildschirm,~e",screen,képernyő,noun,2014-10-06,5,,
e,"Bildung,~en",education,oktatás,noun,2014-05-10,5,,
s,"Bit,~s",bit,bit,noun,2014-10-06,5,,
e,"Blase,~n",blister,hólyag,noun,2014-05-09,5,,
s,"Bleichgesicht,~er",pale-face,sápadt arcú,noun,2014-10-14,5,,
r,"Bleistift,~e",pencil,ceruza,noun,2014-10-18,5,,
r,"Blödsinn,-","nonsense, rubbish",hülyeség,noun,2014-05-01,5,,
s,"Bock,~","bock beer (strong, dark lager of German origin)","bock sör (német eredetű, erős, sötét lager)",noun,2014-08-11,5,,
r,"Bock,⍨e","lust, desire, interest (colloquial, slang)","kedv (informatív, szleng)",noun,2014-08-11,5,,
r,"Bohrer,~",drill,fúró,noun,2014-08-04,5,,
s,"Bookmark,~s",bookmark,bookmark,noun,2014-10-06,5,,
r,"Böse,~",devil,"(az) ördög, (a) gonosz",noun,2014-10-11,5,,
r,"Brand,⍨e",fire,tűz,noun,2014-06-04,5,,
r,"Brasilianer,~",Brazilian (male),brazil (férfi),noun,2014-10-16,5,,
e,"Brasilianerin,~nen",Brazilian (female),brazil (nő),noun,2014-10-16,5,,
s,"Brasilianisch,~e",Brazilian,brazil,noun,2014-10-16,5,,
s,"Brasilien,-",Brazil,Brazília,noun,2014-10-16,5,,
e,"Braut,⍨e",bride ,menyasszony,noun,2014-05-01,5,,
r,"Bräutigam,~e",groom ,vőlegény,noun,2014-05-01,5,,
s,"Brautkleid,~er","bridal gown, bride's dress",menyasszonyi ruha,noun,2014-08-11,5,,
s,"Brautpaar,~e",bride and groom ,jegyespár,noun,2014-05-01,5,,
r,"Briefumschlag,⍨e",envelope,boríték,noun,2015-02-01,5,,
r,"Brite,~n","Briton, Britishman",britt (férfi),noun,2014-10-16,5,,
e,"Britin,~nen","Briton, Britishwoman",britt (nő),noun,2014-10-16,5,,
s,"Britisch,~e",British,britt,noun,2014-10-16,5,,
r,"Browser,~",browser,böngésző,noun,2014-10-06,5,,
s,"Bruchstück,~e","shard, fragment",töredék,noun,2015-02-07,5,,
r,"Büffel,~",buffalo,"bivaly, bölény",noun,2014-10-14,5,,
e,"Bühne,~n",stage,színpad,noun,2014-09-10,5,,
s,"Bundesrepublik Deutschland,-",The Federal Republic of Germany,Német Szövetségi Köztársaság,noun,2014-10-16,5,,
e,"Burg,~en","castle, fortification",vár,noun,2015-05-01,5,,
r,"Businsasse,~n",bus passengers,buszon ülők (csak többes),noun,2014-05-01,5,,
r,"Cache,~s",cache,cache,noun,2014-10-06,5,,
r,"CD-Brenner,~",cd burner,cd-író,noun,2014-10-06,5,,
r,"Channel,~s",channel (IT),csatorna (IT),noun,2014-10-06,5,,
r,"Chat,~s",chat (IT),chat,noun,2014-10-06,5,,
s,"China,-",China,Kína,noun,2014-10-16,5,,
r,"Chinese,~n",Chinese (male),kínai (férfi),noun,2014-10-16,5,,
e,"Chinesin, Chinesen",Chinese (female),kínai (nő),noun,2014-10-16,5,,
s,"Chinesisch,~e",Chinese,kínai,noun,2014-10-16,5,,
r,"Chirurg,~en",surgeon,sebész,noun,2014-10-18,5,,
e,"Chirurgie,~n",surgery,sebészet,noun,2014-10-18,5,,
r,"Computer,~",computer,számítógép,noun,2014-10-06,5,,
s,"Cookie,~s",cookie,"cookie, süti (IT)",noun,2014-10-06,5,,
s,"Croissant,~s",croissant ,croissant ,noun,2014-05-01,5,,
e,"Croquette,~n","croquette, croquet",krokett,noun,2014-05-01,5,,
r,"Dachboden,⍨","loft, attic, roof chamber","tetőtér, padlás",noun,2014-05-01,5,,
r,"Datei-Manager,~",file manager,fájlkezelő,noun,2015-02-07,5,,
e,"Datei,~en",file,fájl,noun,2014-10-06,5,,
s,"Dateiformat,~e",file format,fájlformátum,noun,2014-10-06,5,,
e,"Datenbank,~en",database,adatbázis,noun,2014-10-06,5,,
e,"Datenübertragung,~en",data transfer,adatátvitel,noun,2014-10-06,5,,
e,"Dauerleistung,-",stamina,állóképesség,noun,2014-08-11,5,,
e,"Decke,~n","cover, blanket; ceiling; roof","takaró, pokróc; mennyezet; tető",noun,2014-05-01,5,,
r,"Demonstrant,~en",protester,demonstráló,noun,2014-05-01,5,,
e,"Demonstrantin,~nen",protester,demonstráló,noun,2014-05-01,5,,
r,"Depp,~en","douche, douchebag, jerk, jackass",idióta,noun,2014-10-15,5,,
r,"Desktop,~s",desktop pc,asztali számítógép,noun,2014-10-06,5,,
e,"Deutsche, Deutschen",German (female),"német (személy, nő)",noun,2014-08-13,5,,
e,"Deutsche,~n",German (female),német (nő),noun,2014-10-16,5,,
r,"Deutsche,~n",German (male),német (férfi),noun,2014-10-16,5,,
r,"Deutscher, Deutschen",German (male),"német (személy, férfi)",noun,2014-08-13,5,,
e,"Deutschkenntnis,~se",German knowledge,némettudás,noun,2014-09-23,5,,
s,"Deutschland,~s",Germany,Németország,noun,2014-10-16,5,,
r,"Dieb,~e",thief,tolvaj,noun,2015-03-29,5,,
e,"Diebin,~nen",female thief,tolvajnő,noun,2015-03-29,5,,
r,"Diebstahl,⍨e",theft,lopás,noun,2014-06-04,5,,
e,"Diele,~n","hall, hallway, foyer",előszoba,noun,2015-04-18,5,,
s,"Ding,~e",thing (object),"izé, dolog",noun,2014-05-01,5,,
r,"Dirigent,~en","conductor, maestro, choirmaster",karmester,noun,2015-02-15,5,,
s,"Dokument,~en",document,dokumentum,noun,2014-10-06,5,,
r,"Döner,~",doner ,döner,noun,2014-05-01,5,,
e,"Dose,~n",can,"doboz, konzervdoboz",noun,2015-02-10,5,,
r,"Drucker,~",printer,nyomtató,noun,2014-10-06,5,,
s,"Druckerkabel,~",printer cable,nyomtatókábel,noun,2014-10-06,5,,
r,"Dummkopf,⍨e",fool,idióta (kedves is lehet),noun,2014-10-15,5,,
r,"Durchbruch,⍨e",breakthrough,áttörés,noun,2014-05-07,5,,
r,"Durchfall,-",diarrhea,hasmenés,noun,2014-05-09,5,,
r,"Dürüm,~",dürüm,dürüm,noun,2014-10-15,5,,
r,"E-Commerce,-",E-Com­merce,E-Com­merce,noun,2014-10-06,5,,
e,"Ecke,~n",corner,sarok,noun,2014-10-08,5,,
r,"Editor,~en",editor,szövegszerkesztő,noun,2014-10-06,5,,
e,"Ehre,~n",honor; kudos (colloquial),tisztelet; megtiszteltetés,noun,2014-08-31,5,,
e,"Ehrenhaft,-",honorable,tiszteletbeli,noun,2014-10-06,5,,
s,"Ehrenwort,~e",word of honor,becsületszó,noun,2014-10-14,5,,
r,"Ehrgeizige,~n",ambitious (person),ambiciózus (személy),noun,2014-08-31,5,,
r,"Ehrliche,~n",honest (person),őszinte (személy),noun,2014-08-31,5,,
e,"Eifersucht,-",jealousy,féltékenység,noun,2014-10-20,5,,
r,"Eigenname,~n",proper name,tulajdonnév,noun,2015-02-07,5,,
e,"Eigentschaft,-en",property,tulajdonság,noun,2014-08-24,5,,
r,"Eindruck,~en",impression,benyomás,noun,2014-10-09,5,,
e,"Einführung,~en",introduction,bevezetés,noun,2014-05-01,5,,
s,"Einkommen,-",income,bevétel,noun,2014-05-09,5,,
r,"Einsatz,⍨e",use,bevetés (katonai is); használat,noun,2014-08-24,5,,
s,"Einschreiben,~","registered mail, registered letter, certified mail",tértivevényes levél,noun,2014-10-16,5,,
r,"Einwohner,-",inhabitant,lakos,noun,2014-05-29,5,,
e,"Einzelheit,~en",detail,részlet,noun,2014-10-20,5,,
s,"Eiweiß,~e",protein,fehérje,noun,2014-05-01,5,,
r,"Ekel,-","creep (disgusting, colloquial)",gusztustalanság,noun,2014-10-01,5,,
s,"Ekel,~",disgusting person,gusztustalan ember,noun,2014-10-01,5,,
r,"Empfang,~en",reception (social),fogadás (nem sport),noun,2014-05-01,5,,
s,"England,-",England,Anglia,noun,2014-10-16,5,,
r,"Engländer,~",Englishman,angol (férfi),noun,2014-10-16,5,,
e,"Engländerin,~nen",Englishwoman,angol (nő),noun,2014-10-16,5,,
s,"Englisch,~e",English,angol,noun,2014-10-16,5,,
e,"Entscheidung,~en",decision,döntés,noun,2014-05-01,5,,
e,"Enttäuschung,~en",disappointment,csalódottság,noun,2014-10-18,5,,
e,"Entzündung,~en",inflammation,gyulladás,noun,2015-03-04,5,,
e,"Erdanziehungskraft,⍨e",gravity,gravitáció,noun,2014-10-14,5,,
e,"Erde,~n",Earth; ground; soil,"Föld, föld",noun,2015-03-29,5,,
e,"Erfahrung,~en",experience,tapasztalat,noun,2014-08-24,5,,
r,"Erfolg,~e",success ,siker,noun,2014-05-11,5,,
r,"Erfolgsverwöhnte,~n",spoiled by success (person),sikerhez szokott (kb. elkényeztetette a sors),noun,2014-08-31,5,,
s,"Ergebnis,~se",result,eredmény,noun,2014-05-01,5,,
e,"Erholung,~e","rest, recreation; recovery",pihenés; felépülés,noun,2014-10-10,5,,
e,"Erinnerung,~en","memory, remembrance",emlék,noun,2014-05-09,5,,
e,"Erkrankung,~en",illness,betegség,noun,2014-05-01,5,,
e,"Ernte,~n",harvest,termés,noun,2014-05-01,5,,
r,"Ersatz,~e","replacement, substitute","pótlék, tartalék",noun,2014-09-14,5,,
e,"Erwartung,~en",expectation,elvárás,noun,2014-07-06,5,,
e,"Erzieherin,~nen",governess,nevelőnő,noun,2014-08-13,5,,
r,"Este,~n",Estonian (male),észt (férfi),noun,2014-10-16,5,,
e,"Estin,~nen",Estonian (female),észt (nő),noun,2014-10-16,5,,
s,"Estisch,~e",Estonian,észt,noun,2014-10-16,5,,
s,"Estland,-",Estonia,Észtország,noun,2014-10-16,5,,
r,"Estländer,~",Estonian (male),észt (férfi),noun,2014-10-16,5,,
e,"Estländerin,~nen",Estonian (female),észt (nő),noun,2014-10-16,5,,
e,"Exkursion,~en","excursion, field trip","kitérés, kitekintés; kirándulás (vmilyen céllal)",noun,2015-05-01,5,,
s,"Fach,⍨er",subject,tantárgy,noun,2014-08-06,5,,
e,"Fahne,~n",flag (country flag only),zászló,noun,2014-05-01,5,,
r,"Fahrt,~en","trip, journey",utazás,noun,2014-05-01,5,,
e,"Farbpalette,~n",color palette,színpaletta,noun,2014-10-06,5,,
r,"Feind,~e",enemy,"ellenség, haragos",noun,2014-09-22,5,,
e,"Festplatte,~n",harddrive; harddisk,merevlemez,noun,2014-10-06,5,,
e,"Filiale,~n",branch (office of an organization with several locations),üzlet; üzletfiók,noun,2014-06-04,5,,
e,"Firewall,~s",firewall (IT),tűzfal (IT),noun,2014-10-06,5,,
e,"Firma, Firmen",company,cég,noun,2014-10-09,5,,
e,"Firmenschließung,~en",company shutdown,cégbezárás,noun,2014-05-01,5,,
r,"Flachbildschirm,~e",flatscreen,lapos monitor; lapos képernyő,noun,2014-10-06,5,,
e,"Fläche,~n",surface,terület (matematikai),noun,2014-07-14,5,,
e,"Flachzange,~",flat-nose pliers,laposfogó,noun,2014-08-04,5,,
e,"Flagge,~n",flag,zászló,noun,2014-05-01,5,,
s,"Flämisch,~e",Flemish,flamand,noun,2014-10-16,5,,
e,"Flatrate,~s",flatrate,átalányár,noun,2014-10-06,5,,
s,"Fleisch,-","meet, flesh, pulp",hús,noun,2014-10-15,5,,
r,"Flieger,~",aviator; airplane,repülő; pilóta,noun,2014-10-15,5,,
e,"Fliegerstaffel,~n",air squadron,repülőszázad,noun,2014-10-14,5,,
r,"Flur,~e","hall, hallway, corridor, stairwell","előszoba, folyosó",noun,2015-04-18,5,,
r,"Fluss,⍨",river; flow,folyó,noun,2015-03-29,5,,
e,"Fortsetzung,~en","continuation, resumption",folytatás,noun,2015-04-18,5,,
s,"Frankreich,-",France,Franciaország,noun,2014-10-16,5,,
r,"Franzose,~n",Frenchman,francia (férfi),noun,2014-10-16,5,,
e,"Französin,~nen",Frenchwoman,francia (nő),noun,2014-10-16,5,,
s,"Französisch,~e",French,francia,noun,2014-10-16,5,,
e,"Friedenspfeife,~n",peace-pipe,békepipa,noun,2014-10-14,5,,
e,"Frist,~en","deadline; term, period (time limit)",határidő,noun,2015-03-30,5,,
r,"Füller,~",fountain pen,töltőtoll,noun,2015-04-18,5,,
s,"Gälisch,~e",Gaelic,gall,noun,2014-10-16,5,,
r,"Garten,⍨",garden,kert,noun,2014-05-01,5,,
s,"Gebiet,~e","area, territory","terület, övezet, környék",noun,2014-07-14,5,,
e,"Geborgenheit,~en",safety,biztonság,noun,2014-10-14,5,,
e,"Gebühr,~en",fee,díj,noun,2014-05-01,5,,
e,"Geduld,-",patience,türelem,noun,2014-05-01,5,,
s,"Gefahr,~en",danger,veszély,noun,2014-05-01,5,,
s,"Gefängnis,~se",prison,börtön,noun,2014-05-01,5,,
e,"Gegend,~en","region, area; neighborhood",környék,noun,2014-05-01,5,,
r,"Gegenstand,⍨e","thing, item, object",tárgy,noun,2014-08-24,5,,
s,"Gehalt,~e",content,tartalom,noun,2014-05-01,5,,
s,"Gehalt,⍨er",salary,fizetés (alkalmazotti),noun,2014-05-01,5,,
e,"Geheimzahl,~en",PIN number,pinkód,noun,2014-05-29,5,,
e,"Geheimzahl,~en",PIN,PIN,noun,2014-10-06,5,,
r,"Geier,~",vulture,keselyű,noun,2014-10-14,5,,
s,"Geländer,~e","railing, handrail, banister",korlát,noun,2014-08-05,5,,
e,"Gelegenheit,~en",opportunity; facility,"lehetőség, alkalom",noun,2015-03-04,5,,
e,"Gemeinde,~n",parish,faluk közössége/csoportja,noun,2015-04-21,5,,
e,"Gemeinschaft,~en",community,közösség,noun,2015-04-21,5,,
s,"Gemisch,~e",mixture; composite,keverék,noun,2015-02-09,5,,
s,"Geräusch,~e",noise,zaj,noun,2014-09-09,5,,
s,"Gerüst,~e","scaffold, scaffolding","állvány, állványzat",noun,2014-08-05,5,,
s,"Geschwister,~",sibling,testvér,noun,2014-10-18,5,,
s,"Gesetz,~e","law, act, bill, statute",törvény,noun,2014-06-04,5,,
s,"Gespräch,~e",conversation,beszélgetés,noun,2014-05-14,5,,
s,"Gewissen,-",conscience,lelkiismeret,noun,2014-05-01,5,,
e,"Gewohnheit,~en",habit,szokás,noun,2014-08-24,5,,
e,"Gießkanne,~n",watering can; watering pot,öntözőkanna,noun,2014-09-01,5,,
s,"Gleiche,~n",same,ugyanaz,noun,2014-10-01,5,,
r,"Gleis,~en",platform; track,peron; sín,noun,2014-05-01,5,,
e,"Glocke,~n",bell,csengő,noun,2014-05-01,5,,
r,"Glückspilz,~e",lucky individual,szerencsés flótás,noun,2014-05-01,5,,
e,"Grenze,~n",border,határ (átv. is),noun,2014-05-01,5,,
r,"Grieche,~n",Greek (male),görög (férfi),noun,2014-10-16,5,,
s,"Griechenland,-",Greece,Görögország,noun,2014-10-16,5,,
e,"Griechin,~nen",Greek (female),görög (nő),noun,2014-10-16,5,,
s,"Griechisch,~e",Greek,görög,noun,2014-10-16,5,,
s,"Großbritannien,-",Great Britain,Nagy Britannia,noun,2014-10-16,5,,
e,"Großschreibung,~en",upper case,nagybetű,noun,2014-10-06,5,,
s/r,"Gulasch,~s/e",goulash,gulyás,noun,2014-05-01,5,,
r,"Gurt,~e",belt; strap,öv,noun,2014-05-15,5,,
s,"Gut,⍨er",goods,áru,noun,2015-02-01,5,,
s,"Gyros,~",gyros ,gyros,noun,2014-05-01,5,,
e,"Hafen,⍨e",harbor; port,kikötő,noun,2014-07-14,5,,
r,"Hamburger,~/~s",hamburger ,hamburger,noun,2014-05-01,5,,
r,"Hammel,~","wether, mutton",ürü; birkahús,noun,2014-10-15,5,,
e,"Harddisk,~s",harddisk,merevlemez,noun,2014-10-06,5,,
e,"Hardware,~s",hardware,hardver,noun,2014-10-06,5,,
e,"Hase,~n",hare,nyúl,noun,2014-05-01,5,,
e,"Hauptseite,~n",main page,főoldal (IT),noun,2014-10-06,5,,
s,"Hebräisch,~e",Hebrew,héber,noun,2014-10-16,5,,
r,"Hecht,~e",pike,csődőr,noun,2014-10-01,5,,
e,"Heiserkeit,~en",hoarseness,rekedtség,noun,2014-07-28,5,,
e,"Herausforderung,~en",challenge,kihivás,noun,2014-06-06,5,,
r,"Herbst,~e","fall, autumn",ősz,noun,2014-05-01,5,,
r,"Herzinfarkt,~e",heart attack,szívroham,noun,2014-10-14,5,,
s,"Highlight,~s",highlight,fénypont,noun,2014-07-14,5,,
e,"Hilfesprechblase,~n",help balloon,segítség szövegbuborék (IT),noun,2014-10-06,5,,
s,"Hilfsgut,⍨er",helping goods,"segítség (áru, termék)",noun,2015-02-01,5,,
r,"Himmel,~",sky; heaven,ég; menny,noun,2014-05-01,5,,
s,"Hindi,-",Hindi,hindi,noun,2014-10-16,5,,
s,"Hintergeräusch,~e",background noise,háttérzaj,noun,2015-05-01,5,,
r,"Hintergrund,⍨e",background,háttér,noun,2014-10-06,5,,
r,"Hirni,~s",idiot; pea-brain,agyas (slang),noun,2014-10-15,5,,
r,"Hit,~s",hit,találat,noun,2014-10-06,5,,
e,"Hitze,-",heat,"forróság, hőség",noun,2014-05-01,5,,
e,"Hoffnung,~en",hope,remény,noun,2014-05-09,5,,
e,"Höflichkeit,~en","courtesy, politeness, courtliness ",illetlenség,noun,2014-08-20,5,,
e,"Hölle,~n",hell,pokol,noun,2014-05-01,5,,
s,"Holz,⍨er",wood,fa,noun,2014-05-10,5,,
e,"Homepage,~s",homepage,főoldal (IT),noun,2014-10-06,5,,
r,"Homie,~s","homie, buddy (slang)","span (informális), haver",noun,2014-08-20,5,,
r,"Host,~s",host,host; kiszolgáló (IT),noun,2014-10-06,5,,
s/r,"Hot Dog,~s",hotdog,hotdog,noun,2014-05-01,5,,
e,"Hure,~n",whore,kurva,noun,2014-08-02,5,,
r,"Idiot,~en",idiot (male),idióta (férfi),noun,2014-10-15,5,,
e,"Idiotin,~nen","jerk, moron, idiot (female)",idióta (nő),noun,2014-10-15,5,,
e,"Impfung,~en","injection, vaccination",oltás,noun,2015-02-01,5,,
r,"Inder,~",Indian (male),indiai (férfi),noun,2014-10-16,5,,
e,"Inderin,~nen",Indian (female),indiai (nő),noun,2014-10-16,5,,
s,"Indien,-",India,India,noun,2014-10-16,5,,
s,"Indisch,~e",Indian,indiai,noun,2014-10-16,5,,
r,"Inhalt,~e",content,tartalom,noun,2015-02-01,5,,
r,"Insasse,~n",inhabitant; inmate,bennlakó; fegyenc,noun,2014-05-01,5,,
s,"Insekt,~en",insect,rovar,noun,2014-05-01,5,,
r,"Ire,~n",Irishman,ír (férfi),noun,2014-10-16,5,,
e,"Irin,~nen",Irishwoman,ír (nő),noun,2014-10-16,5,,
s,"Irisch,~e",Irish,ír,noun,2014-10-16,5,,
s,"Irland,-",Irland,Írország,noun,2014-10-16,5,,
r,"Irländer,~",Irishman,ír,noun,2014-10-16,5,,
r,"Irrtum,⍨er","fallacy, error",tévedés,noun,2015-05-01,5,,
r,"Israeli,~s",Israeli (male),izraeli (férfi),noun,2014-10-16,5,,
e,"Israelin,~nen",Israeli (female),izraeli (nő),noun,2014-10-16,5,,
s,"Israelisch,~e","Israeli, from Israel",izraeli,noun,2014-10-16,5,,
s,"Italien,-",Italy,Olaszország,noun,2014-10-16,5,,
r,"Italiener,~",Italian (male),olasz (férfi),noun,2014-10-16,5,,
e,"Italienerin,~nen",Italian (female),olasz (nő),noun,2014-10-16,5,,
s,"Italienisch,~e",Italian,olasz,noun,2014-10-16,5,,
s,"Japan,-",Japan,Japán,noun,2014-10-16,5,,
r,"Japaner,~",Japanese (male),japán (férfi),noun,2014-10-16,5,,
e,"Japanerin,~nen",Japanese (female),japán (nő),noun,2014-10-16,5,,
s,"Japanisch,~e",Japanese,japán,noun,2014-10-16,5,,
r,"Joystick,~s",joystick,joystick,noun,2014-10-06,5,,
s,"Jurastudium, Jurastudien",law studies,jogi tanulmány,noun,2014-09-10,5,,
s,"Kabrio,~s",cabrio,kabrió,noun,2014-05-01,5,,
r,"Käfer,~",beetle,bogár,noun,2014-05-01,5,,
s,"Kanada,-",Canada,Kanada,noun,2014-10-16,5,,
r,"Kanadier,~",Canadian (male),kanadai (férfi),noun,2014-10-16,5,,
e,"Kanadierin,~nen",Canadian (female),kanadai (nő),noun,2014-10-16,5,,
s,"Kanadisch,~e",Canadian,kanadai,noun,2014-10-16,5,,
e,"Kantine,~n",company cafeteria,étkezde,noun,2014-10-10,5,,
s,"Kapitel,~",chapter,fejezet,noun,2014-10-11,5,,
e,"Katastrophe,~n","disaster, catastrophe",katasztrófa,noun,2015-02-01,5,,
r,"Kebab,~s",kebap ,kebab,noun,2014-05-01,5,,
r,"Kenntnissstand,⍨e",knowledge level,tudásszint,noun,2014-09-23,5,,
s,"Kennzeichen,~",license plate,rendszám,noun,2014-06-04,5,,
e,"Kiste,~n",box,doboz,noun,2014-05-01,5,,
e,"Klammer,~n",bracket; parenthesis; clamp,zárójel; fogó,noun,2015-02-28,5,,
r,"Klamotten,- (pl)",rags,"ruházat, ruhák",noun,2014-10-15,5,,
e,"Kleinschreibung,~en",lower case,kisbetű,noun,2014-10-06,5,,
s,"Kleinstkind,~er",child,kisgyerek,noun,2014-08-20,5,,
r,"Klinkenstecker,~",jack; plug,jack; plug; dugó,noun,2014-10-06,5,,
r,"Knast,⍨e",jail,dutyi,noun,2014-05-01,5,,
e,"Kneifzange,~n",pincer,harapófogó,noun,2014-08-04,5,,
e,"Kneipe,~n",pub,kocsma,noun,2014-10-13,5,,
r,"Knopf,⍨e",button,gomb,noun,2014-05-10,5,,
e,"Köchin,~nen",cook (femaie),szakácsnő,noun,2014-08-11,5,,
r,"Kollege,~n",collegue,kolléga,noun,2014-10-08,5,,
e,"Kombinationszange,~n","lineman's pliers, combination pliers",komináltfogó,noun,2014-08-04,5,,
r,"Kopfhörer,~",headphone; earphone,fejhallgató; fülhallgató,noun,2014-10-06,5,,
e,"Kranke,~n",sick person,"beteg (nő, illetlen!)",noun,2014-05-01,5,,
r,"Kranker, Kranken",sick person,"beteg (férfi/semleges, illetlen!)",noun,2014-05-01,5,,
s,"Kreuz,~e",cross,kereszt,noun,2014-05-01,5,,
r,"Krieger,~",warrior,katona,noun,2014-10-14,5,,
r,"Kroate,~n",Croatian (male),cseh (férfi),noun,2014-10-16,5,,
s,"Kroatien,-",Croatia,Csehország,noun,2014-10-16,5,,
e,"Kroatin,~nen",Croatian (female),cseh (nő),noun,2014-10-16,5,,
s,"Kroatisch,~e",Croatian,cseh,noun,2014-10-16,5,,
e,"Krokette,~n","croquette, croquet",krokett,noun,2014-05-01,5,,
r,"Kumpel,~",buddy (colloquial),haver (informális),noun,2014-08-20,5,,
r,"Kunde,~n",customer,ügyfél,noun,2014-10-10,5,,
s,"Kunstwerk,~e",artwork,műalkotás,noun,2014-05-01,5,,
e,"Kupfer,-",copper,réz,noun,2014-10-06,5,,
s,"Kuvert,~e/~s",envelope (outdated),boríték (régies),noun,2015-02-01,5,,
e,"Lage,~n","situation, proximity","helyzet, szituáció; fekvés (pl. házé)",noun,2014-10-01,5,,
e,"Landenbahn,~en","runway, airstrip",leszálló pálya,noun,2014-05-01,5,,
e,"Landschaft,~en",landscape,"táj, tájkép",noun,2014-05-01,5,,
r,"Landstrich,~e",area,terület,noun,2015-02-05,5,,
r,"Laptop,~s",laptop (IT),"laptop, notebook",noun,2014-10-06,5,,
r,"Lastwagen,⍨","truck, semi",kamion,noun,2014-05-01,5,,
s,"Latein,-",latin,latin,noun,2014-05-09,5,,
s,"Laufwerk,~e",driver,meghajtó (IT),noun,2014-10-06,5,,
e,"Leertaste,~n","spacebar; space (print, computer)",szóköz; szóköz billentyű,noun,2014-09-03,5,,
e,"Leertaste,~n",spacebar,szóköz billentyű,noun,2014-10-06,5,,
r,"Leichtsinn,-","levity, recklessness",könnyelműség,noun,2015-04-28,5,,
e,"Leiter,~n",ladder,létra,noun,2014-05-01,5,,
s,"Lenkrad,⍨er",steering wheel,kormány (jármű),noun,2014-05-01,5,,
r,"Link,~s",link,link (IT),noun,2014-10-06,5,,
r,"Lohn,⍨",wage,bér (munkás),noun,2014-05-01,5,,
e,"Lücke,~n",gap,"rés, luk, lyuk",noun,2014-06-04,5,,
s,"Luxembourg,-",Luxembourg,Luxembourg,noun,2014-10-16,5,,
r,"Luxemburger,~",Luxembourger (male),luxembourgi (férfi),noun,2014-10-16,5,,
e,"Luxemburgerin,~nen",Luxembourger (female),luxembourgi (nő),noun,2014-10-16,5,,
s,"Luxemburgisch,~e",Luxembourger,luxembourgi,noun,2014-10-16,5,,
s,"Mädel,~",chick (colloquial),csaj (informális),noun,2014-08-31,5,,
s,"Mädel,~s",gal,csaj,noun,2014-05-01,5,,
r,"Magen,⍨",stomach,gyomor,noun,2015-04-18,5,,
e,"Mail,~s",email,email,noun,2014-10-06,5,,
r,"Mangel,⍨","flaw; lack, shortage",hiba; hiányosság,noun,2015-03-30,5,,
r,"Meerespiegel,-",sea level,tengerszint,noun,2014-09-23,5,,
s,"Meeting,~s",meeting,"meeting, tárgyalás",noun,2014-08-24,5,,
e,"Menüführung,~en",navigation menü,navigációs menü,noun,2014-10-06,5,,
r,"Mexikaner,~",Mexican (male),mexikói (férfi),noun,2014-10-16,5,,
e,"Mexikanerin,~nen",Mexican (female),mexikói (nő),noun,2014-10-16,5,,
s,"Mexikanisch,~e",Mexican,mexikói,noun,2014-10-16,5,,
s,"Mexiko,-",Mexico,Mexikó,noun,2014-10-16,5,,
r,"Mindestlohn,⍨e",minimum wage,minimálbér,noun,2014-05-01,5,,
r,"Mineralstoff,~e","mineral, mineral supplement",ásványianyag,noun,2014-05-01,5,,
e,"Mischung,~en",blend,keverék,noun,2015-02-09,5,,
s,"Missgeschick,~e",mishap,baleset,noun,2014-05-01,5,,
r,"Mist,-",manure ,"ganéj, (francba!)",noun,2014-05-01,5,,
e,"Mittagspauze,~n",lunch break,ebédszünet,noun,2014-10-10,5,,
s,"Mittel,~",agent (chemical); drug (medical); resource; tool for sth.,anyag; szer; gyógyszer; javak; eszköz vmihez (átv),noun,2014-08-24,5,,
s,"Modem,~s",modem,modem,noun,2014-10-06,5,,
e,"Möglichkeit,~en",opportunity,lehetőség,noun,2014-05-01,5,,
e,"Monierzange,~n",pincer,harapófogó,noun,2014-08-04,5,,
r,"Monitor,~en",monitor,monitor,noun,2014-10-06,5,,
